sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
0A-ZUII-DI5I	B076FYH36K	37.00	1																					
0G-669K-N99I	B0BBZF7W6N	12.99	2																					
0S-OR5F-SJTG	B00IE693IC	35.00	1																					
0W-LGWG-98E2	B097YQ3ZBV	40.00	1																					
0X-2G92-H65I	B09YDCKJS5	14.00	3																					
0Z-P5QU-N01H	B0BG3C69L6	15.00	2																					
127814	B0085JIQ90	39.99	8																					
128621	B005N9HGGY	9.99	13																					
128622	B005N9HG46	9.99	10																					
136640	B00H8P8Y1W	4.99	16																					
137998	B00IORIF3U	6.99	8																					
139435	B00KZFY4DO	16.99	69																					
141040	B00N1EJXUU	16.99	100																					
141668	B00SYMOTCG	35.99	25																					
142720	B013JVJKC0	19.99	7																					
142721	B013JVJOT4	19.99	10																					
142755	B0127RH8TY	19.99	6																					
143443	B071DQ33D8	19.99	100																					
143862	B013PTN16M	19.99	7																					
145091	B0150KNXOY	19.99	7																					
145092	B0150KNXQM	19.99	6																					
145116	B015DDC68M	19.99	7																					
145117	B015DDC7U4	19.99	9																					
145118	B017KURATG	19.99	6																					
145192	B0175D0O5U	19.99	9																					
145197	B0175D085Q	19.99	6																					
145202	B0175D0DY2	19.99	7																					
145207	B0175D0IXI	19.99	7																					
145222	B0175D0SEW	19.99	10																					
146707	B01AIIAD5K	4.99	26																					
147168	B01DWKN70E	19.99	6																					
147170	B01DWKN5FG	19.99	6																					
147174	B01DWKMM6O	19.99	7																					
147186	B01DWKNC6S	19.99	7																					
147794	B00K7V1NGW	34.99	7																					
147941	B0198KU8IQ	24.99	100																					
147943	B0198KU5KM	16.99	100																					
148074	B01A7HBYH8	16.99	24																					
148418	B0198KU8PY	16.99	100																					
148990	B01D1PNWO6	9.99	41																					
150236	B071V52Z3Y	14.99	100																					
151406	B08192M1KV	19.99	7																					
151550	B01HY4SXMG	9.99	33																					
151551	B01LW6MYLI	9.99	27																					
151629	B01FXQUD7U	2.99	14																					
151630	B01FXQUEWE	2.99	6																					
151631	B01EJLRUFS	2.99	13																					
152915	B01E8ZBADS	15.99	6																					
153670	B0773721D9	34.99	7																					
153671	B07739WR3Q	34.99	6																					
153680	B07SJFLVNL	34.99	11																					
154560	B01N0NEEVS	9.99	78																					
154563	B01NAFSAZX	9.99	12																					
154565	B01NAFS86I	9.99	28																					
154567	B01NCI7R0X	9.99	13																					
154637	B07QXG58Z8	10.99	14																					
154645	B01LZF8785	7.99	11																					
154895	B01M5KD9Y6	16.99	100																					
154897	B01M9JZJTB	16.99	100																					
155316	B01N5CGHMS	9.99	21																					
155341	B01N9OQEAW	19.99	6																					
155422	B01N22A1I7	9.99	21																					
155424	B01MS7BAP1	9.99	15																					
155433	B01HY4SYYS	9.99	63																					
155560	B00N9RP8N0	79.90	6																					
155817	B01MDTFQSU	16.99	100																					
155819	B01M34GDVV	16.99	34																					
156370	B01I8ZZ6VQ	99.90	20																					
157107	B010EIT8U0	12.99	100																					
157594	B06XGG1GCT	14.99	40																					
157764	B00O3RU8G2	32.99	32																					
157766	B003ZDP3I8	32.99	31																					
157775	B08XWRWGNR	58.99	28																					
157782	B07HM4PM1K	90.99	98																					
157787	B09KN3Z226	279.99	76																					
158656	B06XWYLQHR	24.99	6																					
158676	B072PCLP2M	149.99	10																					
158716	B072WMLDSB	19.99	8																					
159327	B076BVV773	24.99	18																					
159542	B01NBY2AF4	15.99	6																					
160626	B0738N8BG8	190.00	11																					
160629	B0738MX6YY	349.00	12																					
161729	B074687TKZ	24.99	48																					
162193	B076K8RC2Q	19.99	8																					
162197	B076J46SVL	19.99	13																					
162400	B0772P2T92	19.99	9																					
162537	B07FTQDT7D	9.99	19																					
162983	B06XS1MGR3	9.99	7																					
162984	B06XRRTQFN	9.99	20																					
163291	B07615B755	16.99	42																					
163341	B0749MJSRZ	69.99	6																					
163345	B06WXXF1JC	37.99	8																					
163567	B0BCFWJ3TY	245.99	51																					
163569	B0B7RQQBD5	284.99	31																					
163572	B001Q1UBA6	199.99	50																					
163593	B071KFZGF7	16.99	54																					
163694	B074G5QPHK	84.99	56																					
163724	B075R8PDHC	29.99	11																					
164069	B07FPVTMKL	119.76	24																					
164087	B072YZPBHT	16.99	100																					
164201	B07FPQXCFS	15.99	31																					
164277	B077VVD89Z	449.99	19																					
164784	B07G9JXL3X	15.99	44																					
164785	B07G9K7P8Q	15.99	41																					
165254	B079TCDJJH	16.99	100																					
165278	B077T9MXWJ	8.99	11																					
165288	B07B6KZ8M9	8.99	20																					
165547	B079PCBKNQ	16.99	69																					
166131	B07BZ14LHY	349.99	17																					
166610	B07FN5WRJD	8.99	29																					
166663	B00KRVJBHK	24.99	59																					
166674	B09NDL1Q5W	34.99	58																					
166680	B07WN3CPYV	19.99	14																					
166681	B0162CNOCU	23.99	41																					
166691	B00030EUA8	35.99	56																					
166700	B08WBSMKHJ	45.99	56																					
167133	B07DX5BXC2	9.99	7																					
167134	B07DX4139N	9.99	8																					
167653	B07FQDJCPR	8.99	9																					
167655	B07FPWMKT6	8.99	73																					
167781	B07D7SM5JT	16.99	100																					
168364	B07FTGCTNY	2.99	12																					
168909	B07GXYXB2R	17.99	8																					
168911	B07H4WYW8Q	29.99	27																					
168912	B07H5JT9PH	29.99	52																					
168926	B07H5K9GVK	4.99	100																					
169143	B06WRTQ6H8	4.99	11																					
169147	B01CYG6BMI	4.99	25																					
169475	B07H8K2457	8.99	6																					
169477	B076T1QVXZ	19.99	41																					
169562	B07DFDK26S	16.99	8																					
169717	B07HGQ4NL1	19.99	6																					
169719	B07HGBR8XP	19.99	6																					
169775	B07J24JTZT	5.99	40																					
169778	B07DKXW2BD	5.99	23																					
169779	B07CS1LS5V	5.99	100																					
17-6J06-3JVQ	B0B6GFSQTQ	12.99	3																					
170561	B07JQY2SG1	49.99	33																					
171027	B076T1QKC3	19.99	7																					
171354	B07HJ82QR9	16.99	10																					
171355	B07HJ8685B	16.99	100																					
171630	B07NLS6XWF	26.99	16																					
171631	B07NLSK6GQ	26.99	30																					
171787	B07MT65TL4	59.99	63																					
171909	B07KK235Y8	9.99	6																					
172082	B07N49HMS5	14.99	6																					
172110	B07MZKJSZ5	14.99	14																					
172111	B07MZP3747	14.99	16																					
172113	B07MZKFMY8	14.99	17																					
172117	B07MZPCMJY	14.99	7																					
172233	B07QC8ZJL6	19.99	26																					
172234	B07QC8XBZ2	19.99	29																					
172235	B07QHD22QS	19.99	31																					
172251	B081NC62SZ	19.99	28																					
172315	B07N5HTKQ8	29.99	41																					
172317	B07N5H57FN	29.99	32																					
172319	B07N5HTKQH	17.99	21																					
172422	B07SWMP7X4	9.99	24																					
172423	B07SXLH3C9	9.99	21																					
172489	B07QC6RTK6	12.99	27																					
172490	B07QJLGQWQ	8.99	26																					
172512	B07QF8PK6C	13.99	6																					
172516	B07PRSK79C	13.99	14																					
172520	B07QGDLM9G	12.99	11																					
172521	B07QGDLBJM	8.99	38																					
172522	B07QC6Q7CJ	13.99	7																					
172588	B07X5MLPWC	19.99	25																					
172630	B086BBDSKJ	19.99	21																					
172830	B07NR8Z79Z	24.99	45																					
172831	B07NRC1S1C	24.99	60																					
172832	B07NRC612H	24.99	41																					
172866	B07NRC2PPF	24.99	33																					
172868	B07NRBN6BY	24.99	59																					
172869	B07NR4W67D	24.99	53																					
172870	B07NR9D3J3	24.99	57																					
172871	B07NR9SHFX	24.99	47																					
172901	B07RZ3LBHW	29.99	20																					
172925	B07KPHL1Z6	16.99	16																					
173057	B07KPSVBJB	16.99	9																					
173058	B07KPSJV1S	16.99	8																					
173555	B07NS2JRJX	5.99	30																					
173561	B01N9M2G93	7.99	22																					
173620	B07NSY5PMJ	16.99	13																					
174089	B07Y8JZX2M	24.99	6																					
174152	B07PLT8XQ4	29.99	15																					
174360	B07QLM5FN3	5.99	16																					
174361	B07SD1G5QY	12.99	20																					
174499	B0871V4V54	14.99	25																					
174501	B0871TSQ91	14.99	17																					
174502	B0871VBWF8	14.99	57																					
174503	B0871VV6LJ	14.99	41																					
174506	B08ZLJJSSR	14.99	15																					
174507	B087CKCRT4	14.99	36																					
174509	B083Z9VPKH	14.99	11																					
174510	B0871V9XLH	14.99	30																					
174511	B087CJD8R1	14.99	27																					
174557	B07R25GTC2	29.99	16																					
174564	B07R25HMFL	17.99	34																					
174873	B07XBYHJCP	12.99	11																					
