sku,quantity
0A-ZUII-DI5I,1
0G-669K-N99I,2
0S-OR5F-SJTG,1
0W-LGWG-98E2,1
0X-2G92-H65I,3
0Z-P5QU-N01H,2
127814,8
128621,13
128622,10
136640,16
137998,8
139435,69
141040,100
141668,25
142720,7
142721,10
142755,6
143443,100
143862,7
145091,7
145092,6
145116,7
145117,9
145118,6
145192,9
145197,6
145202,7
145207,7
145222,10
146707,26
147168,6
147170,6
147174,7
147186,7
147794,7
147941,100
147943,100
148074,24
148418,100
148990,41
150236,100
151406,7
151550,33
151551,27
151629,14
151630,6
151631,13
152915,6
153670,7
153671,6
153680,11
154560,78
154563,12
154565,28
154567,13
154637,14
154645,11
154895,100
154897,100
155316,21
155341,6
155422,21
155424,15
155433,63
155560,6
155817,100
155819,34
156370,20
157107,100
157594,40
157764,32
157766,31
157775,28
157782,98
157787,76
158656,6
158676,10
158716,8
159327,18
159542,6
160626,11
160629,12
161729,48
162193,8
162197,13
162400,9
162537,19
162983,7
162984,20
163291,42
163341,6
163345,8
163567,51
163569,31
163572,50
163593,54
163694,56
163724,11
164069,24
164087,100
164201,31
164277,19
164784,44
164785,41
165254,100
165278,11
165288,20
165547,69
166131,17
166610,29
166663,59
166674,58
166680,14
166681,41
166691,56
166700,56
167133,7
167134,8
167653,9
167655,73
167781,100
168364,12
168909,8
168911,27
168912,52
168926,100
169143,11
169147,25
169475,6
169477,41
169562,8
169717,6
169719,6
169775,40
169778,23
169779,100
17-6J06-3JVQ,3
170561,33
171027,7
171354,10
171355,100
171630,16
171631,30
171787,63
171909,6
172082,6
172110,14
172111,16
172113,17
172117,7
172233,26
172234,29
172235,31
172251,28
172315,41
172317,32
172319,21
172422,24
172423,21
172489,27
172490,26
172512,6
172516,14
172520,11
172521,38
172522,7
172588,25
172630,21
172830,45
172831,60
172832,41
172866,33
172868,59
172869,53
172870,57
172871,47
172901,20
172925,16
173057,9
173058,8
173555,30
173561,22
173620,13
174089,6
174152,15
174360,16
174361,20
174499,25
174501,17
174502,57
174503,41
174506,15
174507,36
174509,11
174510,30
174511,27
174557,16
174564,34
174873,11
175248,83
175253,96
175382,100
175547,16
175555,14
175569,49
175571,34
175584,49
175787,14
175919,21
175929,16
175980,44
175981,28
175985,16
175986,32
175987,21
175988,52
176186,9
176356,100
176376,59
176486,66
176521,100
176621,75
176623,56
176673,24
176697,6
176842,36
176895,54
176961,22
177516,28
177797,100
177860,7
177861,7
177903,31
177931,32
177938,82
177939,100
177943,20
177944,10
177947,10
177969,20
177970,11
177971,6
177993,34
178095,24
178490,1
178635,64
178657,2
178665,5
178691,1
178692,8
178694,6
178697,1
178699,4
178774,7
178775,23
178787,35
178936,9
179318,36
179319,24
179320,16
179322,19
179323,9
179343,100
179344,100
179349,35
179352,13
179405,8
179424,2
179433,4
179434,3
179435,6
179439,4
179440,8
179441,2
179564,7
179570,1
179583,1
179591,6
179610,1
179641,11
179698,1
179699,1
179728,10
179957,8
179958,39
179959,46
179960,46
180012,6
180109,11
180114,57
180117,24
180119,13
180337,22
180403,7
180510,2
180512,5
180584,2
180586,2
180587,7
180588,7
180775,20
180872,1
181182,29
181202,9
181204,7
181207,15
181208,15
181211,14
181212,28
181214,40
181421,79
181506,88
181526,13
181539,24
181551,65
181560,9
181566,12
181571,35
181576,37
181705,11
181735,100
181775,1
181776,4
181905,1
181906,1
181908,7
181928,2
181935,9
181936,9
181992,100
181994,100
182020,46
182033,6
182076,3
182086,19
182099,100
182219,24
182653,24
182654,10
182674,10
