Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,POPTOYS
198880-playstation-controls-backpack,PLAYSTATION - Controls -Backpack,Title,Default Title,,,,,198880,,,23
196308-pokemon-running-pika-mens-t-shirt-xxl,POKEMON - Running Pika - Men's T-shirt (XXL),Title,Default Title,,,,,196308,,,1
196307-pokemon-running-pika-mens-t-shirt-xl,POKEMON - Running Pika - Men's T-shirt (XL),Title,Default Title,,,,,196307,,,8
196306-pokemon-running-pika-mens-t-shirt-l,POKEMON - Running Pika - Men's T-shirt (L),Title,Default Title,,,,,196306,,,17
196267-pokemon-denim-adjustable-cap,POKEMON - Denim - Adjustable Cap,Title,Default Title,,,,,196267,,,35
195438-jaws-classic-adjustable-cap,JAWS - Classic - Adjustable Cap,Title,Default Title,,,,,195438,,,59
194175-pokemon-embarassed-pika-snapback-cap,POKEMON - Embarassed Pika - Snapback Cap,Title,Default Title,,,,,194175,,,21
191780-harry-potter-gryffindor-adult-face-cover,HARRY POTTER - Gryffindor - Adult Face Cover,Title,Default Title,,,,,191780,,,100
191779-harry-potter-houses-adult-face-cover,HARRY POTTER - Houses - Adult Face Cover,Title,Default Title,,,,,191779,,,54
191778-harry-potter-adult-face-cover,HARRY POTTER - Adult Face Cover,Title,Default Title,,,,,191778,,,100
191777-friends-adult-face-cover,FRIENDS - Adult Face Cover,Title,Default Title,,,,,191777,,,56
191776-dc-comics-adult-face-cover,DC COMICS - Adult Face Cover,Title,Default Title,,,,,191776,,,55
191775-dc-comics-superman-adult-face-cover,DC COMICS - Superman - Adult Face Cover,Title,Default Title,,,,,191775,,,100
191774-dc-comics-batman-adult-face-cover,DC COMICS - Batman - Adult Face Cover,Title,Default Title,,,,,191774,,,100
191773-dc-comics-wonder-woman-adult-face-cover,DC COMICS - Wonder Woman - Adult Face Cover,Title,Default Title,,,,,191773,,,100
191772-dc-comics-supergirl-adult-face-cover,DC COMICS - Supergirl - Adult Face Cover,Title,Default Title,,,,,191772,,,75
191768-dc-comics-batman-kids-face-cover,DC COMICS - Batman - Kids Face Cover,Title,Default Title,,,,,191768,,,21
191767-looney-tunes-tweety-kids-face-cover,LOONEY TUNES - Tweety - Kids Face Cover,Title,Default Title,,,,,191767,,,76
189922-harry-potter-houses-teen-face-cover,HARRY POTTER - Houses - Teen Face Cover,Title,Default Title,,,,,189922,,,3
183982-playstation-retro-waistbag,PLAYSTATION - Retro - Waistbag,Title,Default Title,,,,,183982,,,13
178193-disney-minnie-long-coral-fleece-pajamas-8yo,DISNEY - Minnie - Long Coral Fleece Pajamas - 8yo,Title,Default Title,,,,,178193,,,7
173220-disney-towel-round-130cm-mickey,DISNEY - Towel Round 130cm - Mickey,Title,Default Title,,,,,173220,,,10
171071-disney-hair-accesories-mickey,DISNEY - Hair Accesories - Mickey,Title,Default Title,,,,,171071,,,17
171068-disney-brush-hair-mickey,DISNEY - Brush Hair - Mickey,Title,Default Title,,,,,171068,,,26
170920-disney-alice-cheshire-cat-shoulderbag,DISNEY - ALICE - Cheshire Cat Shoulderbag,Title,Default Title,,,,,170920,,,9
mcf16694-world-of-warcraft-dragons-multipack-1,World of Warcraft Dragons Multipack #1,Title,Default Title,,,,,MCF16694,,,3
